lon                    lat            ve               vn          se               sn                     ren                                                      
99.9910            26.1250            1.720      -14.980          2.500            2.500                0.1740                                                       Y297_GPS                                                                                          
101.2720            25.7390            7.870      -12.180          2.700            2.600                0.2570                                                       Y300_GPS                                                                                    
99.1600            25.1000            2.180      -10.280          2.500            2.700                0.1640                                                             Y308_GPS                                                                                          
101.0230            25.3130            1.260      -13.430          2.200            2.300                0.3770                                                       Y310_GPS                                                                                          
101.4830            25.0770            4.290      -9.330          2.300            2.400                0.4170                                                             Y311_GPS                                                                                          
101.3130            27.5920            11.160      -14.670          2.200            1.900                0.2150                                     Y319_GPS                                                                              
98.6713            28.8444            -9.440      -2.200          2.540            2.270                    0                      H310_GPS                                                                                    
100.1023            25.9927            4.23        -12.40          3.51                  2.20                0.0                                                 eydc_GPS                                                                                    
99.9172            25.9922            3.40        -12.61          5.44                  2.87                0.0                                                 eyfy_GPS                                                                                    
99.9751            26.0634            2.29        -12.39          4.19                  2.16                0.0                                                 eynj_GPS                                                                                    
100.0095          26.2302            2.42        -15.71          2.30                  1.74                0.0                                                 eysy_GPS                                                                                    
99.7297           26.0017            1.88        -12.82          5.52                  1.91                0.0                                                 eyhh_GPS                                                                                    
99.8909           25.8906            2.41        -13.14          2.71                  2.25                0.0                                                 eylg_GPS                                                                                    
99.8424           26.1715            2.93        -13.32          1.77                  1.96                0.0                                                 eytz_GPS                                                                                    
99.6117           26.0540            1.10        -14.21          2.10                  2.05                0.0                                                 eyxp_GPS                                                                                    
99.6972           26.1200            0.99        -15.11          1.79                  2.23                0.0                                                 eyyx_GPS                                                                                    
99.6390           26.2695            -0.34        -13.63          2.91                  2.16                0.0                                                 jcms_GPS                                                                                    
99.5174           26.2180            1.19        -13.97          2.15                  1.74                0.0                                                 jcxt_GPS                                                                                    
99.7112           26.5201            0.89        -13.31          2.33                  2.43                0.0                                                 jcyc_GPS                                                                                    
99.9369           26.3789            2.62        -13.33          1.84                  1.75                0.0                                                 jchc_GPS                                                                                    
99.5578           26.3886            0.64        -12.95          1.70                  2.41                0.0                                                jcmd_GPS                                                                                    
99.8552           26.2463            3.77        -12.62          3.51                  2.60                0.0                                                jcsh_GPS                                                                                    
99.8045           26.3809            2.88        -14.53          2.39                  2.00             0.0                                                jcsl_GPS                                                                                                                                                                                                                              
100.0221           25.7053            3.77        -12.24          2.01                  1.92             0.0                                    ybzm_GPS                                                                                    
99.7853           25.6563            2.12        -12.69          1.85                  1.95             0.0                                                ybzz_GPS                                                                                    
99.9134           25.6361            2.52        -11.94         2.15                  2.12               0.0                                                    ybxl_GPS                                                                                    
99.4325           26.0530            0.39        -12.54         2.36                  2.84               0.0                                                    ylcx_GPS                                                                                    
99.4418           26.2106            0.85        -11.03         2.43                  4.83               0.0                                                    ylzh_GPS                                                                                    
99.5562           25.9040            0.97        -11.18         2.01                  2.41               0.0                                                    ylgp_GPS                                                                                    
99.6524           25.7320            1.09        -13.84         2.06                  2.46               0.0                                                    yltj_GPS                                                                                    
100.4456         26.2030            5.44         -8.71         3.35                  1.77               0.0                                                    ysxg_GPS                                                                                    
100.4329         25.9058            5.72        -10.66         2.50                  1.90               0.0                                                    bchq_GPS                                                                                    
100.2771         25.8344            4.65         -7.58         2.54                  1.87               0.0                                                    dlws_GPS                                                                                    
100.2550         26.0978            2.42        -11.67         3.67                  1.80               0.0                                                    hqhp_GPS                                                                                    
99.7994         25.8438            0.70          -9.33         1.66                  1.87               0.0                                                    eyaj_GPS                                                                                    
100.1377         26.3184            5.42        -12.76         5.14                  2.63               0.0                                                    hqbx_GPS                                                                                    
